Season	Episode	AirDate	Viewers	Product	Deal	GotDeal	Asking	DealTerms	Sharks	Investors
7	4	2015-10-16	5.85	ez-pee-z	NO	NO	$50k for 15%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	4	2015-10-16	5.85	milk + brookies	NO	NO	$100k for 20%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	4	2015-10-16	5.85	table 87 coal oven pizza	YES	YES	$200k for 10%	$250k for 19%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	5	2015-10-23	6.36	switch witch	NO	NO	$55k for 25%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	5	2015-10-23	6.36	the skinny mirror	NO	NO	$200k for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	5	2015-10-23	6.36	three jerks jerky	YES	YES	$100k for 15%	$100k for 15%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
7	5	2015-10-23	6.36	xcraft	YES	YES	$500k  20%	$1.5M  25%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Split equally among all five Sharks. Robert, Lori, Kevin, Daymond, Mark
7	6	2015-10-30	6.16	hotshot	NO	NO	$300k for 10%	NA	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	6	2015-10-30	6.16	rent like a champion	YES	YES	$200k for 10%	$200k for 10%	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban and Chris Sacca
7	6	2015-10-30	6.16	stem center usa	YES	YES	NA	NA	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	6	2015-10-30	6.16	windcatcher technology	YES	YES	$200k for 8%	$200k + line of credit for 5%	Mark Cuban, Chris Sacca, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	7	2015-11-06	6.71	clean cube	NO	NO	$300k for 10%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	7	2015-11-06	6.71	saavy naturals	YES	YES	$220k for 10%	$200k for 40%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Barbara Corcoran
7	7	2015-11-06	6.71	simply fit board	YES	YES	$125k for 15%	$125k for 18%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	7	2015-11-06	6.71	wink frozen desserts	NO	NO	$300k for 15%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	8	2015-11-13	6.14	afresheet	NO	NO	$100k for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	8	2015-11-13	6.14	grip clean	YES	YES	$85k for 20%	$85k for 35%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	8	2015-11-13	6.14	polarpro	YES	YES	$500k for 10%	$1 Million for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban and Robert Herjavec
7	8	2015-11-13	6.14	unshrinkit	YES	YES	$150k for 10%	$150k for 15%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	9	2015-11-20	6.9	brazi bites	YES	YES	$200k for 10%	$200k for 16.5%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
7	9	2015-11-20	6.9	national association of bubble soccer	NO	NO	$160k for 10%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	9	2015-11-20	6.9	socktabs	YES	YES	$50k for 20%	$50k for 30%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
7	9	2015-11-20	6.9	umano	YES	YES	$150k for 15%	$150k for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner and Mark Cuban
