Season	Episode	AirDate	Viewers	Product	Deal	Sharks
8	14	2017-01-27	5.97	chirps	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	14	2017-01-27	5.97	vibes	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	14	2017-01-27	5.97	pop-up play	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	14	2017-01-27	5.97	getaway	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	15	2017-02-03	5.68	the kooler	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	15	2017-02-03	5.68	little nomad	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	15	2017-02-03	5.68	rinsekit	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	15	2017-02-03	5.68	dbest products	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	16	2017-02-10	5.81	tranquilo	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	16	2017-02-10	5.81	doc spartan	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	16	2017-02-10	5.81	peaceful fruits	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	16	2017-02-10	5.81	f.f.t.o.b.	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	17	2017-02-17	5.22	toymail	YES	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	17	2017-02-17	5.22	edn wallgarden	NO	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	17	2017-02-17	5.22	hotels by day	NO	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	17	2017-02-17	5.22	bitsbox	NO	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	18	2017-02-24	5.86	sand cloud	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	18	2017-02-24	5.86	ora organic	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	18	2017-02-24	5.86	dartdrones	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	18	2017-02-24	5.86	the elephant pants	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	19	2017-03-03	6.08	the sleep styler	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	19	2017-03-03	6.08	blendtique wine company	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	19	2017-03-03	6.08	mealenders	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	19	2017-03-03	6.08	rareform	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	20	2017-04-07	4.88	apollo peak	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	20	2017-04-07	4.88	seedsheet	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	20	2017-04-07	4.88	cropsticks	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	20	2017-04-07	4.88	under the weather	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	21	2017-04-14	4.38	guard llama	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	21	2017-04-14	4.38	flag	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	21	2017-04-14	4.38	validated	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	21	2017-04-14	4.38	guardian bikes	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	22	2017-04-21	4.58	goverre	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	22	2017-04-21	4.58	see rescue streamer	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	22	2017-04-21	4.58	bootyqueen apparel	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	22	2017-04-21	4.58	loctote industrial bag co.	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	23	2017-05-05	4.4	thompson tee	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	23	2017-05-05	4.4	wallet buckle	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	23	2017-05-05	4.4	rumi spice	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	23	2017-05-05	4.4	peoples design	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	24	2017-05-12	4.01	wine & design	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	24	2017-05-12	4.01	rocketbook	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	24	2017-05-12	4.01	laid brand	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	24	2017-05-12	4.01	bridal buddy	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
